title	filenames	captions
Bresaylor, Saskatchewan	Somewhere_along_Hwy_16_-_40_-_56_-_106_in_the_Saskatchewan_prairies_-_(28709461132).jpg	Former Federal Grain elevator that stood in Bresaylor, now located along Highway 16.[1]
Bresaylor, Saskatchewan	Canada_Saskatchewan_location_map.svg	Bresaylor is located in Saskatchewan
BR-226	BR-226_e_RN-177_-_Pau_dos_Ferros_(RN).JPG	BR-226 in Pau dos Ferros, Rio Grande do Norte
Bridgeport (community), Wisconsin	Bridgeport_Wisconsin_Sign_WIS60.jpg	Sign on Wisconsin Highway 60
Bridgeport (community), Wisconsin	USA_Wisconsin_location_map.svg	Bridgeport is located in Wisconsin
Bridgeport (community), Wisconsin	Usa_edcp_location_map.svg	Bridgeport is located in the United States
Bridgwater & Albion	Bridgwater_&_Albion_1st_XV.jpg	Team 2014
Bridgwater & Albion	BARFC_Club_House.jpg	BARFC Bath Road Club House
Belcrest, Wisconsin	USA_Wisconsin_location_map.svg	Belcrest, Wisconsin is located in Wisconsin
Belcrest, Wisconsin	Usa_edcp_location_map.svg	Belcrest, Wisconsin is located in the United States
Badminton at the 2005 Southeast Asian Games	Southeast_Asian_Games_2005_stamp_of_the_Philippines_Badminton.jpg	Logo of badminton at the 2005 Southeast Asian Games on a 2005 stamp of the Philippines
BR-277	CURITIBA_(BR_277_km_3,5,_Trecho_Curitiba-Paranaguá),_Paraná,_Brasil_by_Nivaldo_Cit_Filho_-_panoramio.jpg	BR-277 in Curitiba.
BR-277	Balsa_Nova_-_State_of_Paraná,_Brazil_-_panoramio.jpg	BR-277 in Balsa Nova.
BR-277	São_Francisco,_Guarapuava_-_PR,_Brazil_-_panoramio.jpg	BR-277 in Guarapuava.
BR-277	Cascavel,_Paraná,_Brasil_02.jpg	BR-277 in Cascavel.
BR-277	BR-277.JPG	BR-277 in Matelândia.
BR-277	Sunset_foz_do_iguaçu_bridge_panoramic_hdr.jpg	BR-277 in Foz do Iguaçu.
BR-153	BR-153_no_Tocantins.jpg	Stretch of BR-153 in Fortaleza do Tabocão, Tocantins.
BR-153	Divisa_GO-TO_na_BR-153.JPG	BR-153 on the Tocantins/Goiás state line.
BR-153	BR-153_em_Araguaína.jpg	Urban segment of BR-153 in Araguaína, Tocantins.
BR-153	BR-153_em_Goiás.JPG	Section of BR-153 in Campinorte, Goiás.
BR-153	BR-060_em_Goiânia.JPG	Stretch concurrent with BR-060 in Goiânia.
BR-153	BR-153_em_Goiânia.jpg	Urban segment of BR-153 in Goiânia.
BR-153	BR-153_PAVOTEC.jpg	BR-153 in Minas Gerais
BR-153	BR-153_no_Paraná.jpg	Precarious stretch of BR-153 in the rural area of Mallet, Paraná, 2013
BR-153	Moto_Clube_FREE_WORLD_na_estrada.jpg	BR-153 in Herveiras, Rio Grande do Sul
BR-153	BR-153_no_Rio_Grande_do_Sul.jpg	Segment of BR-153 in rural Cachoeira do Sul, Rio Grande do Sul.
Brighton Bears	BrightonBearsLogo.png	Brighton Bears logo
Bowling at the 2019 Southeast Asian Games – Men's masters	Gold_medal_icon.svg	gold medal
Bowling at the 2019 Southeast Asian Games – Men's masters	Silver_medal_icon.svg	silver medal
Bowling at the 2019 Southeast Asian Games – Men's masters	Bronze_medal_icon.svg	bronze medal
Beldibi, Konyaaltı	Turkey_adm_location_map.svg	Beldibi is located in Turkey
Beldibi, Konyaaltı	Beldibi_beach.jpg	Beldibi beach.
Beldibi, Konyaaltı	Beldibi_beach_kemer.jpg	Beldibi beach - Kemer.
Beldibi, Konyaaltı	Orange_grove_beldibi.jpg	Beldibi orange grove.
Badminton at the 2015 Southeast Asian Games – Women's team	Gold_medal_icon.svg	gold medal
Badminton at the 2015 Southeast Asian Games – Women's team	Silver_medal_icon.svg	silver medal
Badminton at the 2015 Southeast Asian Games – Women's team	Bronze_medal_icon.svg	bronze medal
Badminton at the 2015 Southeast Asian Games – Women's team	Bronze_medal_icon.svg	bronze medal
Bus rapid transit in Montreal	Du_Mont_Royal_station,_Pie-IX_BRT.jpg	Du Mont Royal station
Bus rapid transit in Montreal	Pie-ix-belanger-brt-shelter.JPG	Old BRT shelter on Boulevard Pie-IX at Bélanger, now removed
Bus rapid transit in Montreal	Laurier_Pie-IX_BRT_station.jpg	Laurier Pie-IX BRT station, showing the dedicated lanes
Bus rapid transit in Montreal	Kyrielle_by_Jean-Sébastien_Denis.jpg	Kyrielle by Jean-Sébastien Denis
Breyell railway station	Bahnhof_Breyell.jpg	Breyell railway station
BR-101	BR_101_Natal.jpg	BR-101 in Natal, Rio Grande do Norte
BR-101	BR-101,_João_Pessoa_(PB).jpg	BR-101 in João Pessoa, Paraíba
BR-101	BRs-101-PB.jpg	Section of the BR-101 on the border between the states of Paraíba and Rio Grande do Norte.
BR-101	Alagoas_-_BR-101_(geometria).jpg	BR-101 in Alagoas, 2012, before the duplication
BR-101	Sergipe_-_BR-101_(pavimento).jpg	BR-101 in Sergipe, 2012, before the duplication
BR-101	BR-101-BA_em_Itamarajú_(Sentido_Norte)_-_panoramio.jpg	BR-101 in Itamaraju, Bahia
BR-101	Espírito_Santo_-_BR-101_(geometria).jpg	BR-101 in São Mateus, Espírito Santo, 2012
BR-101	Rio_de_Janeiro_Ponte_Niteroi_Aerea_102_Feb_2006.jpg	The Rio-Niterói Bridge, a section of the BR-101 over Guanabara Bay between the cities of Rio de Janeiro and Niterói.
BR-101	Rodovia_Rio_Santos.JPG	Section of the Rio-Santos highway between Juqueí and Praia Preta, in São Sebastião, São Paulo
BR-101	Santa_Catarina_-_BR-101_(geometria).jpg	BR-101 in Santa Catarina
BR-101	Parada_de_Ônibus_em_Capivari_do_Sul.JPG	BR-101 in Capivari do Sul, Rio Grande do Sul
BR-101	BR101_-_RS.JPG	BR-101 in Lagoa do Peixe National Park, Rio Grande do Sul
BR-290	BR-290.jpg	BR-290 in Osório, Rio Grande do Sul
BR-290	Freeway-BR-290-RS.jpg	BR-290 near Porto Alegre, Rio Grande do Sul
BR-290	BR-290_km_277.jpg	BR-290 in Cachoeira do Sul, Rio Grande do Sul
Brighton Town Hall (Brighton, New York)	Brighton_Town_Hall.jpg	Brighton Town Hall, April 2008
Brighton Town Hall (Brighton, New York)	USA_New_York_location_map.svg	Brighton Town Hall (Brighton, New York) is located in New York
Brighton Town Hall (Brighton, New York)	Usa_edcp_location_map.svg	Brighton Town Hall (Brighton, New York) is located in the United States
Brighton Town Hall (Brighton, New York)	Symbol_portal_class.svg	Portal
Braemar railway station, New South Wales	Former_Site_of_Braemar_Railway_Station.png	Former site of Braemar Station, left side of track
Belle Fontaine, Ouest	Haiti_location_map.svg	Belle Fontaine is located in Haiti
Bahçeşehir Koleji	Bahçeşehir_Koleji_Darıca_20220909_(7).jpg	Bahçeşehir Koleji Darıca Campus in 2022
Brighton East, Victoria	Brightoneastphotodec21.jpg	Shops in Brighton East in 2021
Brighton East, Victoria	Australia_Victoria_metropolitan_Melbourne_location_map.svg	East Brighton is located in Melbourne
Bumbuli District	Bumbuli_District_in_Tanga_2022.svg	Bumbuli District in Tanga 2022
Brunswick County Courthouse (North Carolina)	Brunswick_County_Courthouse_Southport,_NC_Jun_10.JPG	Brunswick County Courthouse
Brunswick County Courthouse (North Carolina)	USA_North_Carolina_location_map.svg	Brunswick County Courthouse (North Carolina) is located in North Carolina
Brunswick County Courthouse (North Carolina)	Usa_edcp_location_map.svg	Brunswick County Courthouse (North Carolina) is located in the United States
Best of Me (album)	Maxi_Priest_Best_of_Me_album_cover.jpg	European album cover
Best of Me (album)	Maxi_Priest_Best_of_Me_alternative_album_cover.jpg	International album cover
Bala Shir Rud	Iran_location_map.svg	Bala Shir Rud is located in Iran
BRP Bacolod City (LS-550)	US_Navy_080224-N-4010S-154_The_Republic_of_Philippines_amphibious_ship_BRP_Bacolod_City_(LC_550)_steams_ahead_of_the_amphibious_assault_ship_USS_Essex_(LHD_2).jpg	With USS Essex at Balikatan 2008
BRP Bacolod City (LS-550)	LSV_LC-550_Bacolod_City.png	Line drawing
Baba Hardev Singh	Baba_Hardev_Singh.JPG	Hardev Singh with his wife Sawinder Kaur in 2011
Bundy, Wisconsin	USA_Wisconsin_location_map.svg	Bundy is located in Wisconsin
Bundy, Wisconsin	Usa_edcp_location_map.svg	Bundy is located in the United States
Bahia de las Aguilas	Bahia_de_las_Aguilas_Dominican_Republic.jpg	Bahía de las Aguilas, Dominican Republic
Bahia de las Aguilas	Dominican_Republic_location_map.svg	Bahía de las Aguilas is located in the Dominican Republic
Bahia de las Aguilas	Bahia_de_las_aguilas_211212.jpg	View to the north.
Bahia de las Aguilas	Bahia_de_las_Aguilas_banner.jpg	View to the south.
Bristol Siddeley 605	Bristol_Siddeley_605_parts_MAM.JPG	Working parts on display at the Midland Air Museum
Burns Tri-Sonic	Tri-Sonic.JPG	Comparison of the sizes of a Burns Tri-Sonic Brian May pickup (Bottom) and a standard Stratocaster style pickup (Top)
Brazilian corvette Jaceguai (V-31)	Marinha_Navio_Corveta_Jaceguai_2_(5431891288).jpg	Cv Jaceguai on 9 February 2011
Bethel Street drill hall, Norwich	Properties_on_Bethel_Street,_Norwich_-_geograph.org.uk_-_4663773.jpg	The frontage of the Bethel Street drill hall office (with the green windows); the former skating rink, yellow building next door would have been suitably large enough to be used as a drill hall.
Bethel Street drill hall, Norwich	Norfolk_UK_location_map.svg	Bethel Street drill hall office is located in Norfolk
Brockleton	Worcestershire_UK_location_map.svg	Bockleton is located in Worcestershire
Baldwins Mill, Wisconsin	USA_Wisconsin_location_map.svg	Baldwins Mill, Wisconsin is located in Wisconsin
Baldwins Mill, Wisconsin	Usa_edcp_location_map.svg	Baldwins Mill, Wisconsin is located in the United States
Banknote counter	Banknote_Counter.jpg	A modern electronic note counter with counterfeit detection capabilities
Brunaille	Allessandro_Magnasco_-_'Burial_of_a_Franciscan_Friar',_c._1730,_El_Paso_Museum_of_Art.jpg	Burial of a Franciscan Friar, oil on canvas brunaille by Allessandro Magnasco, c. 1730
Brighton & Hove Sea Serpents	Logo_of_Brighton_&_Hove_Sea_Serpents_RFC.png	Brighton & Hove Sea Serpents RFC
Badminton at the 2015 Southeast Asian Games – Men's doubles	Gold_medal_icon.svg	gold medal
Badminton at the 2015 Southeast Asian Games – Men's doubles	Silver_medal_icon.svg	silver medal
Badminton at the 2015 Southeast Asian Games – Men's doubles	Bronze_medal_icon.svg	bronze medal
Badminton at the 2015 Southeast Asian Games – Men's doubles	Bronze_medal_icon.svg	bronze medal
Burnside Park, Providence, Rhode Island	Burnside_Park_on_snowy_day.jpg	Burnside park on a snowy day
Burnside Park, Providence, Rhode Island	The_1902_Carrie_Brown_Bajnotti_Memorial_Fountain_in_Providence.jpg	Bajnotti Fountain (1902), Enid Yandell
Burnside Park, Providence, Rhode Island	Gen._Burnside_Monument,_Burnside_Park,_Providence,_RI.jpg	Burnside Statue (1887), Launt Thompson
Burnside Park, Providence, Rhode Island	Providence_buildings_2.JPG	View of the Providence skyline from the park.
Bandini 1000	Bandinimillemotore.jpg	The group motor-gear-differential 1000/66.
Badminton at the 2017 Southeast Asian Games – Men's team	Gold_medal_icon.svg	gold medal
Badminton at the 2017 Southeast Asian Games – Men's team	Silver_medal_icon.svg	silver medal
Badminton at the 2017 Southeast Asian Games – Men's team	Bronze_medal_icon.svg	bronze medal
Badminton at the 2017 Southeast Asian Games – Men's team	Bronze_medal_icon.svg	bronze medal
Badminton at the 2015 Southeast Asian Games – Mixed doubles	Gold_medal_icon.svg	gold medal
Badminton at the 2015 Southeast Asian Games – Mixed doubles	Silver_medal_icon.svg	silver medal
Badminton at the 2015 Southeast Asian Games – Mixed doubles	Bronze_medal_icon.svg	bronze medal
Badminton at the 2015 Southeast Asian Games – Mixed doubles	Bronze_medal_icon.svg	bronze medal
Barbara Wilk-Ślizowska	Barbara_Ślizowska-Konopka.jpg	Wilk-Ślizowska in 2013
Badminton at the 2015 Southeast Asian Games – Women's doubles	Gold_medal_icon.svg	gold medal
Badminton at the 2015 Southeast Asian Games – Women's doubles	Silver_medal_icon.svg	silver medal
Badminton at the 2015 Southeast Asian Games – Women's doubles	Bronze_medal_icon.svg	bronze medal
Badminton at the 2015 Southeast Asian Games – Women's doubles	Bronze_medal_icon.svg	bronze medal
Bursa corrugata	Bursa_corrugata.jpg	Apertural view of Bursa corrugata (Perry, 1811) with operculum.
Billy Maharg	Billy_Maharg.jpg	Image from Chicago Daily News negatives collection, Chicago History Museum.
Basketball at the 2019 Southeast Asian Games – Women's tournament	Gold_medal_icon.svg	gold medal
Basketball at the 2019 Southeast Asian Games – Women's tournament	Silver_medal_icon.svg	silver medal
Basketball at the 2019 Southeast Asian Games – Women's tournament	Bronze_medal_icon.svg	bronze medal
Basketball at the 2019 Southeast Asian Games – Women's tournament	Philippines_location_map_(square).svg	Basketball at the 2019 Southeast Asian Games – Women's tournament is located in Philippines
Ball v. United States	Seal_of_the_United_States_Supreme_Court.svg	Supreme Court of the United States
Badminton at the 2017 Southeast Asian Games – Women's team	Gold_medal_icon.svg	gold medal
Badminton at the 2017 Southeast Asian Games – Women's team	Silver_medal_icon.svg	silver medal
Badminton at the 2017 Southeast Asian Games – Women's team	Bronze_medal_icon.svg	bronze medal
Badminton at the 2017 Southeast Asian Games – Women's team	Bronze_medal_icon.svg	bronze medal
Birthplace of Ali ibn Abi Talib	Arabic_caligraphic_seal_in_Hagia_Sophia_(cropped).jpg	Ali
Badminton at the 2021 Southeast Asian Games – Women's team	Gold_medal_icon.svg	gold medal
Badminton at the 2021 Southeast Asian Games – Women's team	Silver_medal_icon.svg	silver medal
Badminton at the 2021 Southeast Asian Games – Women's team	Bronze_medal_icon.svg	bronze medal
Badminton at the 2021 Southeast Asian Games – Women's team	Bronze_medal_icon.svg	bronze medal
Black Hole (solitaire)	Pysol-black-hole-solitaire-deal-1000-with-public-domain-tabletile.png	A Deal of Black Hole in PySolFC
Baghestan (Ferdows County)	Iran_location_map.svg	Baghestan is located in Iran
Black Wolf (community), Wisconsin	USA_Wisconsin_location_map.svg	Black Wolf, Wisconsin is located in Wisconsin
Black Wolf (community), Wisconsin	Usa_edcp_location_map.svg	Black Wolf, Wisconsin is located in the United States
Bcl-2-associated X protein	Ideogram_human_chromosome_19.svg	Chromosome 19 (human)
Bcl-2-associated X protein	Human_chromosome_19_ideogram.svg	Chromosome 19 (human)
Bcl-2-associated X protein	HSR_1996_II_3.5e.svg	Genomic location for BAX
Bcl-2-associated X protein	Red_rectangle_2x18.png	Genomic location for BAX
Bcl-2-associated X protein	Ideogram_house_mouse_chromosome_7.svg	Chromosome 7 (mouse)
Bcl-2-associated X protein	Ideogram_of_house_mouse_chromosome_7.svg	Chromosome 7 (mouse)
Bcl-2-associated X protein	HSR_1996_II_3.5e.svg	Genomic location for BAX
Bcl-2-associated X protein	Red_rectangle_2x18.png	Genomic location for BAX
Bcl-2-associated X protein	Signal_transduction_pathways.svg	Overview of signal transduction pathways involved with apoptosis.
Bcl-2-associated X protein	PDB_1f16_EBI.jpg	1f16: SOLUTION STRUCTURE OF A PRO-APOPTOTIC PROTEIN BAX
Battle of Casimir I with Miecław	Panstwo_mieclawa.svg	The Duchy of Poland in 1037, including the borders of Miecław's State.
Bandar Sunway	Bandar_Sunway_aerial.jpg	Aerial view of Sunway (looking northeast) in February 2011
Bandar Sunway	West_Malaysia_location_map.svg	Sunway City Kuala Lumpur is located in Peninsular Malaysia
Bandar Sunway	Sunway_Pyramid_front.jpg	Front facade of Sunway Pyramid shopping mall.
Bandar Sunway	Sunway_Lagoon_(220711).jpg	Sunway Lagoon amusement park.
Bandar Sunway	Jalan_PJS_11_28.jpg	Jalan PJS 11/28 is one of the commercial street within the township
Bandar Sunway	Sunway_Resort_Hotel_(220711)_04.jpg	Sunway Resort Hotel
Bandar Sunway	Sunway_Pyramid_Hotel.jpg	Sunway Pyramid Hotel
Bandar Sunway	Sunway_U.jpg	Sunway University with student
Bandar Sunway	Bandar_Sunway_-_Apr_2022_panorama.jpg	Panoramic view of Bandar Sunway taken in April 2022, in the foreground is the Sunway Geo commercial block with Sunway Medical Center behind it
Bandar Sunway	Wikisource-logo.svg	Wikisource page
Burnfoot, Roberton, Scottish Borders	Road_heading_back_to_Burnfoot_Farm_-_geograph.org.uk_-_2308795.jpg	Road through Burnfoot
Bandini 1100 siluro	1100_siluroBandini.jpg	Ilario Bandini at Perugia in 1950
Bandini 1100 siluro	Bandini1100siluro.jpg	The start of the 1949 Mille Miglia
Bandini 1100 siluro	Bandini_a_pescara.jpg	Ilario Bandini at Pescara, with his brother Gualtiero  behind him.
Bandini 1100 siluro	Bandini1100siluroE.JPG	Torpedo in a recent event
Bandini 1100 siluro	SiluroBandini.JPG	1100 Torpedo on Bandini Day
Bandini 1100 siluro	Bandini1100A.JPG	Passenger compartment and dashboard.
Bala Deh	Afghanistan_adm_location_map.svg	Bala Deh is located in Afghanistan
Beaufield, Saskatchewan	Canada_Saskatchewan_location_map.svg	Beaufield is located in Saskatchewan
Bangalore Kannada	Seal_of_Karnataka.svg	Emblem of Karnataka
Beaver Brook (community), Wisconsin	USA_Wisconsin_location_map.svg	Beaver Brook, Wisconsin is located in Wisconsin
Beaver Brook (community), Wisconsin	Usa_edcp_location_map.svg	Beaver Brook, Wisconsin is located in the United States
Baldwinton, Saskatchewan	Canada_Saskatchewan_location_map.svg	Baldwinton is located in Saskatchewan
Beaches (electoral district)	Beaches_riding.png	Beaches in relation to other electoral districts in Toronto
Bandini 1100	Bandini_1100sportA.JPG	The driver Giovanni Bracco in New York City
Bandini 1100	Bandini_1100sport.JPG	Picture of Bandini Sports in 1100 United States
Bandini 1100	Bandini_1100sportC.jpg	Ilario Bandini to work on the 1100 sports
Bandini 1100	Bandini_1100sportD.JPG	The second Bandini 1100
Bondeni (Moshi Urban ward)	Tanzania_location_map.svg	Bondeni is located in Tanzania
Beijing Museum of Natural History	Beijing_Museum_of_Natural_History_Dinosaur_Hall.jpg	The Mesozoic hall at the Beijing Museum of Natural History.
Beijing Museum of Natural History	Yangchuanosaurus_and_Tuojiangosaurus_at_the_Beijing_Museum_of_Natural_History.jpg	Mounted skeletons of Yangchuanosaurus and Tuojiangosaurus.
Beijing Museum of Natural History	Microraptor_at_the_Beijing_Museum_of_Natural_History.jpg	Microraptor specimen on the second floor.
Beijing Museum of Natural History	Szechuanosaurus_at_the_Beijing_Museum_of_Natural_History.jpg	Mounted skeleton of Szechuanosaurus.
Beijing Museum of Natural History	Lufengosaurus_magnus3.jpg	Skull of Lufengosaurus magnus.
Bonfires (EP)	Fireworks_Bonfires_Vinyl_Cover_Art.jpg	Run For Cover Records re-released the EP on vinyl in 2011 with new artwork.
Bela Khotenashvili	Fondation_Neva_Women's_Grand_Prix_Geneva_09-05-2013_-_Bela_Khotenashvili_1_(cropped).jpg	Bela Khotenashvili at the FIDE Women's Grand Prix in Geneva, 2013
Bonne Madone, Saskatchewan	Canada_Saskatchewan_location_map.svg	Bonne Madone is located in Saskatchewan
Belgian minehunter Narcis (M923)	M923_Narcis.jpg	Narcis M923
Beer shop	Beershop_'t_Koelschip5.JPG	Bottles of beer and glassware at a beer shop
Barcolana regatta	NASA7-722-46H-s.jpg	NASA satellite image of the Gulf of Trieste
Barcolana regatta	Barcolana2006Arrivo.JPG	End of the 2006 Barcolana, with the victory of Alfa Romeo 2
Barcolana regatta	Barcolana41_(cropped).JPG	Sailing the first side of the route during the 41st Barcolana
Bunyan, Wisconsin	USA_Wisconsin_location_map.svg	Bunyan, Wisconsin is located in Wisconsin
Bunyan, Wisconsin	Usa_edcp_location_map.svg	Bunyan, Wisconsin is located in the United States
Belle Plaine (community), Wisconsin	USA_Wisconsin_location_map.svg	Belle Plaine, Wisconsin is located in Wisconsin
Belle Plaine (community), Wisconsin	Usa_edcp_location_map.svg	Belle Plaine, Wisconsin is located in the United States
Basilica of Our Lady of the Martyrs, Lisboa	Wlm_97003141_(2).jpg	Internal view
Burnfoot, Scottish Borders	Scottish_Borders_UK_location_map.svg	Burnfoot is located in Scottish Borders
Belzebuth	Belzebuth.jpg	Film poster
Baylus Benjamin McKinney	Bistineau_Baptist_Church,_Heflin,_LA_IMG_8581.JPG	Bistineau Baptist Church near Heflin, Louisiana, was McKinney's home congregation.
Baylus Benjamin McKinney	B.B._McKinney_marker,_Bistineau_Baptist_Church,_LA_IMG_8583.JPG	McKinney historical marker at Bistineau Baptist Church in south Webster Parish, Louisiana; click to enlarge.
Bembidiina	Phrypeus_rickseckeri_(Hayward)_-_ZooKeys-245-001-g023.jpeg	Phrypeus rickseckeri
Bende, Abia	Nigeria_location_map.svg	Bende is located in Nigeria
Bende, Abia	Nigeria_Abia_State_map.png	Map of Nigeria highlighting Abia State
Bayırkozağacı, Gündoğmuş	Turkey_adm_location_map.svg	Bayırkozağacı is located in Turkey
By the Light of the Green Star	By_the_Light_of_the_Green_Star.jpg	Cover of the first edition
Benfica (Lisbon)	Vue_des_jardins_de_Benfica_36234_(cropped).JPG	View of Benfica in 1785.
Benfica (Lisbon)	Crest_of_Lisboa.png	Coat of arms of Lisbon
Beginning (film)	Beginning_(film).jpg	Film poster
Beni savanna	Bolivien_-_Oekoregionen.png	Map of Bolivia's ecoregions. The Beni savanna is hatched bright green.
সুভাষ চন্দ্র নাথ	Subhash_Chandra_Nath.jpg	চিত্রশিল্পী সুভাষ চন্দ্র নাথ
Box spread (options)	Boxspread.png	Profit diagram of a box spread. It is a combination of positions with a riskless payoff.
Bernarda Ordoñez Moscoso	PRESIDENTA_DE_LA_ASAMBLEA_NACIONAL,_GUADALUPE_LLORI,_REUNIÓN_CON_LA_SECRETARIA_DE_LOS_DERECHOS_HUMANOS,_BERNANDA_ORDÓÑEZ._ECUADOR,_23_DE_JUNIO_DEL_2021_(cropped).jpg	Bernarda Ordoñez Moscoso in 2021.
Belle Vue, Torbeck, Haiti	Haiti_location_map.svg	Belle Vue is located in Haiti
Battrum, Saskatchewan	Canada_Saskatchewan_location_map.svg	Battrum is located in Saskatchewan
Berk, Dodurga	Turkey_adm_location_map.svg	Berk is located in Turkey
Baxter, Wisconsin	USA_Wisconsin_location_map.svg	Baxter is located in Wisconsin
Baxter, Wisconsin	Usa_edcp_location_map.svg	Baxter is located in the United States
Brandon Rike	Dead_Poetic.JPG	Brandon Rike performing with Dead Poetic at Cornerstone Music Festival
Belvédère Castle	Belvédère_Laeken.jpg	View of Belvédère Castle
Belvédère Castle	Château_Belvedere_Laeken.jpg	Belvédère Castle in 1900
Belvédère Castle	Great_coat_of_arms_of_Belgium.svg	Royal Standard of Belgium
C.P. Shipley House	USA_Iowa_location_map.svg	C.P. Shipley House is located in Iowa
C.P. Shipley House	Usa_edcp_location_map.svg	C.P. Shipley House is located in the United States
C.P. Shipley House	Map_of_Iowa_highlighting_Cerro_Gordo_County.svg	Cerro Gordo County map
Beato (Lisbon)	LSB-beato.png	Coat of arms of Beato
Beato (Lisbon)	Crest_of_Lisboa.png	Coat of arms of Lisbon
Benab e Marand	Meydane_emam_hoseyn1.JPG	city center
Benab e Marand	Iran_location_map.svg	Benab Marand is located in Iran
Benab e Marand	Bonab.jpg	Benab marand-Western entrance road to the city
Brockview, St. Catharines	Canada_Ontario_location_map_2.svg	Brockview is located in Ontario
Brockview, St. Catharines	St.-Catharines-Neighbourhoo.png	The Communities of St. Catharines
Brockview, St. Catharines	Brock_University_Arthur_Schmon_Tower_Aug_2008_2.JPG	Arthur Schmon Tower from August 2008 in Brock University
Bentleigh East, Victoria	East_Bentleigh_August_2021.jpg	Bentleigh East in May 2022
Bentleigh East, Victoria	Australia_Victoria_metropolitan_Melbourne_location_map.svg	Bentleigh East is located in Melbourne
Bentleigh East, Victoria	St_Peters_Bentleigh_East_Church.jpg	St Peters Bentleigh East Catholic Church
Bentleigh East, Victoria	St_Peters_Bentleigh_East_2.jpg	St Peter's Primary School in East Bentleigh
Bentleigh East, Victoria	St_Bede's_College_Bentleigh_East_Spring.jpg	St Bedes's College East Bentleigh
Bentleigh East, Victoria	Tucker_Road_Primary_school.jpg	Tucker Road Primary school
Brooklyn Invitational Stakes	1904Brooklyn_Handicap.jpg	"""The Picket"" winning the 1904 Brooklyn Handicap"
Bilsk, Kotelva Raion	Bilsk-Ukraine-Map.png	Location of Bilsk village in Ukraine
Bekirhan	Turkey_adm_location_map.svg	Bekirhan is located in Turkey
Binalood (city)	Fakhr-e_Davood_House_Timurid_Persia.jpg	Fakh-e Davood Caravanserai in Binalood
Binalood (city)	The_Road_of_44_-_East_of_Iran_-_Nishapur_to_Mashhad_-_Dizbad_wind_farm_3.JPG	Binalood Wind Farm
Bisento	Bisento_from_the_Wujing_Zongyao_武經總要.png	Bisento (Méi jiāndāo; 眉尖刀) from the Wǔjīng Zǒngyào (武經總要).
Bell Heights, Appleton, Wisconsin	USA_Wisconsin_location_map.svg	Bell Heights, Wisconsin is located in Wisconsin
Bell Heights, Appleton, Wisconsin	Flag_of_Wisconsin.svg	Flag of Wisconsin
Belsen trial	Town_Gymnasium_at_Luneburg.jpeg	Place of the Belsen trial: old MTV gymnasium, Lindenstraße 30, Lüneburg
Belsen trial	BU_003749.jpeg	Josef Kramer, photographed in leg irons at Belsen before being removed to the POW cage at Celle, 17 April 1945.
Belsen trial	Hoessler_Franz.jpg	Franz Hössler at Bergen-Belsen
Belsen trial	BU_010366.jpeg	Interior shot of the court room ten days before the start of the trial
Belsen trial	Fritz_Klein_Belsen.jpg	Fritz Klein surrounded by bodies. The British Army liberating Bergen-Belsen forced German camp personnel to bury the corpses of prisoners.
Belsen trial	Erich_Zoddel.jpeg	Erich Zoddel in Allied custody after the liberation of Bergen-Belsen
Buccal tablet	Buccal_Mucosa.png	A figure illustrating the cross-sectional area of the buccal mucosa.
Buccal tablet	Zoobies.png	A schematic diagram illustrating the penetration pathway for buccal drug delivery.
Birmingham Moseley Rugby Club	Moseley_captain_JF_Byrne.jpeg	Moseley and England captain J. F. Byrne c1900
Birmingham Moseley Rugby Club	Mose_v_Cov_Billesley_Common.JPG	Moseley against Coventry in 2009 Boxing Day derby at Billesley
Birmingham Moseley Rugby Club	Birmingham_Moseley_Rugby_Grandstand.jpg	Birmingham Moseley Rugby Grandstand
Bizeux Rock	Antarctica_location_map.svg	Bizeux Rock is located in Antarctica
Big Mouth & Ugly Girl	BigMouth&UglyGirl.jpg	First edition
Bhairavasana	Ankusasana_from_Sritattvanidhi.jpg	Illustration of a yogini in Aṇkuśāsana, the elephant goad pose, in the 19th century  Sritattvanidhi. The pose is now usually called Bhairavasana.
Bhairavasana	Indian_-_Elephant_Goad_-_Walters_5161.jpg	Traditional Indian elephant goad or Aṇkuś (17th century example seen here) is a short straight iron spear with a hook, giving one name for the pose.
Bhairavasana	Kapala_Asana_(headstand)_from_Jogapradipika_1830_(cropped).jpg	Kapala Asana (headstand) in Jogapradipika, 1830
Black Girl / White Girl	BlackGirlWhiteGirl.jpg	First edition
Biała Voivodeship	Woj49rejony.png	The district offices and gminas (municipalities) of Poland in 1998, including the Biała Voivodeship.
Biriniwa	Nigeria_location_map.svg	Birniwa is located in Nigeria
Biriniwa	Birniwa_water_melon_market.jpg	This is freshly harvested water melon in Birniwa town of Jigawa state
Biriniwa	Water_melon_in_Birniwa_market_01.jpg	This is freshly harvested water melon in Birniwa town of Jigawa state
Biriniwa	Nigeria_Jigawa_State_map.png	Map of Nigeria highlighting Jigawa State
Canon 844	Scale_of_justice,_canon_law.svg	Scale of justice
Big Town (film)	Big_Town_(1947_film_poster).jpg	Theatrical release poster
Busch Pole Award	TSM_AJ_Allmendinger_-_2015_-_Stierch_12.jpg	A. J. Allmendinger (left) holding the Busch Pole Award after winning the pole for the 2015 Toyota/Save Mart 350
Blood Oranges	Blood_Oranges_ESD.jpg	Blood Oranges, 1991
